Age,Female,Years,College,Certficates,Feedback,NPS,Explorer,Diplomat,Analyst,Salary
59,1,2,1,1,2.01,5,0,1,0,70200
52,0,10,1,4,3.64,10,0,1,0,133000
61,0,2,1,3,2.7,6,0,1,0,96000
28,0,6,1,1,2.43,6,1,0,0,60000
51,1,10,0,0,2.15,5,1,0,0,43800
34,0,4,1,2,2.91,7,0,1,0,92000
38,1,1,1,5,1.23,6,1,0,0,73400
41,1,1,1,1,2.26,5,0,0,0,51800
40,0,1,0,4,3.6,9,0,1,0,116000
46,1,2,1,1,4,5,0,0,1,61800
38,1,4,1,1,2.37,4,0,1,0,57400
52,1,1,0,0,2.72,4,0,0,0,50600
24,0,1,1,1,2.66,3,0,0,1,39000
37,1,1,1,2,3.71,9,0,1,0,96600
33,0,2,1,1,1.16,4,1,0,0,60000
58,1,2,1,4,3.54,7,1,0,0,73400
62,0,7,1,5,2.6,6,0,1,0,80000
42,1,2,1,5,2.15,8,0,1,0,78600
40,0,2,1,5,3.64,9,1,0,0,137000
43,0,2,1,3,1.63,7,0,1,0,70000
59,0,6,1,1,4,10,1,0,0,97000
38,0,3,0,2,1.85,3,1,0,0,77000
65,1,1,0,2,2.84,3,0,1,0,41000
39,0,2,0,3,1.95,5,0,1,0,67000
50,0,8,1,1,3.13,6,1,0,0,81000
39,0,2,1,4,4,8,0,0,0,78000
34,1,1,1,0,3.15,6,0,0,1,54200
28,0,4,1,3,3.03,4,0,1,0,60000
63,0,3,1,5,2.14,5,1,0,0,76000
54,1,1,1,3,2.74,7,1,0,0,96200
52,0,2,1,4,1.21,4,0,0,1,84000
36,1,3,1,1,2.35,3,0,1,0,55800
28,0,1,1,2,4,8,1,0,0,72000
55,0,2,1,6,1.31,10,1,0,0,93000
56,0,1,0,2,2.42,5,1,0,0,60000
65,0,1,1,3,2.16,5,0,0,0,71000
59,0,2,1,6,2.22,9,1,0,0,81000
25,0,2,1,0,3.77,5,0,1,0,70000
46,0,2,1,2,1.41,4,0,1,0,63000
36,1,1,1,3,3.82,6,0,0,0,58800
60,0,7,1,1,1.94,6,0,1,0,70000
65,1,2,1,1,4,6,1,0,0,69000
24,0,1,1,3,2.15,6,1,0,0,65000
28,0,2,1,3,2.7,4,0,0,0,55000
46,1,1,1,6,3.34,9,0,0,0,86800
40,0,1,0,5,1.95,6,0,0,0,49000
56,1,5,1,4,3.43,8,0,1,0,71800
63,0,2,1,1,2.92,7,0,1,0,71000
37,0,1,1,1,1.33,3,1,0,0,60000
34,1,1,1,4,1.69,7,0,1,0,75200
44,0,1,0,4,1.48,5,1,0,0,85000
56,1,1,1,1,3.17,8,1,0,0,73800
60,1,10,0,0,3.49,4,0,1,0,60000
36,0,1,0,4,4,9,0,1,0,75000
