Sales_Rep,Business,Age,Female,Years,College,Personality,Certficates,Feedback,Salary,NPS
1,Hardware,59,1,2,Yes,Diplomat,1,2.01,70200,5
2,Hardware,52,0,10,Yes,Diplomat,4,3.64,133000,10
4,Hardware,61,0,2,Yes,Diplomat,3,2.7,96000,6
6,Hardware,28,0,6,Yes,Explorer,1,2.43,60000,6
8,Hardware,51,1,10,No,Explorer,0,2.15,43800,5
9,Hardware,34,0,4,Yes,Diplomat,2,2.91,92000,7
10,Hardware,38,1,1,Yes,Explorer,5,1.23,73400,6
12,Hardware,41,1,1,Yes,Sentinel,1,2.26,51800,5
13,Hardware,40,0,1,No,Diplomat,4,3.6,116000,9
15,Hardware,46,1,2,Yes,Analyst,1,4,61800,5
16,Hardware,38,1,4,Yes,Diplomat,1,2.37,57400,4
18,Hardware,52,1,1,No,Sentinel,0,2.72,50600,4
20,Hardware,24,0,1,Yes,Analyst,1,2.66,39000,3
22,Hardware,37,1,1,Yes,Diplomat,2,3.71,96600,9
24,Hardware,33,0,2,Yes,Explorer,1,1.16,60000,4
27,Hardware,58,1,2,Yes,Explorer,4,3.54,73400,7
31,Hardware,62,0,7,Yes,Diplomat,5,2.6,80000,6
33,Hardware,42,1,2,Yes,Diplomat,5,2.15,78600,8
39,Hardware,40,0,2,Yes,Explorer,5,3.64,137000,9
41,Hardware,43,0,2,Yes,Diplomat,3,1.63,70000,7
44,Hardware,59,0,6,Yes,Explorer,1,4,97000,10
48,Hardware,38,0,3,No,Explorer,2,1.85,77000,3
49,Hardware,65,1,1,No,Diplomat,2,2.84,41000,3
52,Hardware,39,0,2,No,Diplomat,3,1.95,67000,5
54,Hardware,50,0,8,Yes,Explorer,1,3.13,81000,6
55,Hardware,39,0,2,Yes,Sentinel,4,4,78000,8
62,Hardware,34,1,1,Yes,Analyst,0,3.15,54200,6
64,Hardware,28,0,4,Yes,Diplomat,3,3.03,60000,4
68,Hardware,63,0,3,Yes,Explorer,5,2.14,76000,5
69,Hardware,54,1,1,Yes,Explorer,3,2.74,96200,7
72,Hardware,52,0,2,Yes,Analyst,4,1.21,84000,4
73,Hardware,36,1,3,Yes,Diplomat,1,2.35,55800,3
74,Hardware,28,0,1,Yes,Explorer,2,4,72000,8
75,Hardware,55,0,2,Yes,Explorer,6,1.31,93000,10
78,Hardware,56,0,1,No,Explorer,2,2.42,60000,5
80,Hardware,65,0,1,Yes,Sentinel,3,2.16,71000,5
83,Hardware,59,0,2,Yes,Explorer,6,2.22,81000,9
84,Hardware,25,0,2,Yes,Diplomat,0,3.77,70000,5
85,Hardware,46,0,2,Yes,Diplomat,2,1.41,63000,4
87,Hardware,36,1,1,Yes,Sentinel,3,3.82,58800,6
89,Hardware,60,0,7,Yes,Diplomat,1,1.94,70000,6
94,Hardware,65,1,2,Yes,Explorer,1,4,69000,6
95,Hardware,24,0,1,Yes,Explorer,3,2.15,65000,6
97,Hardware,28,0,2,Yes,Sentinel,3,2.7,55000,4
98,Hardware,46,1,1,Yes,Sentinel,6,3.34,86800,9
99,Hardware,40,0,1,No,Sentinel,5,1.95,49000,6
100,Hardware,56,1,5,Yes,Diplomat,4,3.43,71800,8
101,Hardware,63,0,2,Yes,Diplomat,1,2.92,71000,7
102,Hardware,37,0,1,Yes,Explorer,1,1.33,60000,3
104,Hardware,34,1,1,Yes,Diplomat,4,1.69,75200,7
105,Hardware,44,0,1,No,Explorer,4,1.48,85000,5
106,Hardware,56,1,1,Yes,Explorer,1,3.17,73800,8
108,Hardware,60,1,10,No,Diplomat,0,3.49,60000,4
110,Hardware,36,0,1,No,Diplomat,4,4,75000,9
115,Hardware,47,1,2,No,Sentinel,5,4,82600,8
118,Hardware,51,0,2,Yes,Explorer,1,1.84,68000,5
122,Hardware,60,0,6,No,Analyst,4,4,91000,7
123,Hardware,52,0,1,No,Analyst,1,1.14,32000,2
125,Hardware,52,0,6,No,Analyst,4,3.28,59000,5
126,Hardware,28,0,3,Yes,Analyst,0,3.29,55000,3
128,Hardware,38,0,6,Yes,Analyst,5,3.93,128000,10
129,Hardware,42,1,2,Yes,Diplomat,4,3.14,80600,7
130,Hardware,30,0,7,No,Sentinel,1,2.97,51000,4
132,Hardware,32,0,2,Yes,Explorer,1,3.61,72000,5
135,Hardware,46,0,7,Yes,Sentinel,1,1.68,74000,5
136,Hardware,43,0,6,Yes,Diplomat,1,1.67,84000,4
138,Hardware,25,1,2,No,Explorer,1,3.33,45000,4
143,Hardware,28,0,2,Yes,Analyst,1,2.47,39000,4
144,Hardware,45,0,1,Yes,Diplomat,2,2.11,95000,5
145,Hardware,56,0,2,Yes,Diplomat,5,4,137000,9
147,Hardware,50,0,5,Yes,Explorer,2,1.76,73000,8
153,Hardware,27,0,1,Yes,Diplomat,2,1.44,53000,4
154,Hardware,27,0,2,No,Explorer,0,2.99,31000,4
155,Hardware,57,0,1,No,Explorer,3,3.98,85000,5
163,Hardware,52,0,1,Yes,Diplomat,2,3.02,126000,9
164,Hardware,42,0,2,No,Diplomat,2,2.13,67000,5
165,Hardware,36,0,1,Yes,Diplomat,6,3.21,129000,10
175,Hardware,61,0,1,Yes,Explorer,3,4,96000,9
178,Hardware,24,1,2,Yes,Explorer,3,3.85,68200,9
181,Hardware,39,1,1,Yes,Diplomat,3,4,104200,7
184,Hardware,48,0,10,Yes,Explorer,4,4,134000,8
185,Hardware,41,0,2,Yes,Analyst,1,4,62000,5
188,Hardware,35,0,2,Yes,Analyst,6,4,90000,8
193,Hardware,41,0,2,Yes,Explorer,3,2.65,94000,6
194,Hardware,32,0,2,Yes,Explorer,0,3.38,68000,5
195,Hardware,32,0,2,Yes,Sentinel,1,4,54000,5
197,Hardware,40,0,10,No,Explorer,5,3.82,94000,9
201,Hardware,58,0,1,No,Sentinel,4,1.82,62000,6
203,Hardware,37,1,6,Yes,Diplomat,0,4,86600,7
204,Hardware,25,0,1,No,Analyst,5,2.61,48000,6
205,Hardware,41,0,1,Yes,Sentinel,2,3.68,83000,5
206,Hardware,33,0,2,Yes,Diplomat,4,2.66,73000,6
207,Hardware,40,0,2,Yes,Analyst,4,4,96000,9
209,Hardware,48,0,8,Yes,Analyst,1,3.02,82000,5
215,Hardware,52,0,2,Yes,Diplomat,2,4,123000,8
216,Hardware,62,0,1,Yes,Sentinel,2,4,111000,7
219,Hardware,47,0,5,No,Analyst,0,4,74000,3
222,Hardware,34,1,1,Yes,Explorer,6,2.6,94200,8
228,Hardware,34,1,4,Yes,Diplomat,1,1.93,57200,7
231,Hardware,55,0,2,Yes,Diplomat,3,3.29,84000,7
233,Hardware,46,0,7,Yes,Explorer,6,4,182000,8
234,Hardware,54,0,2,Yes,Explorer,3,3.52,116000,9
238,Hardware,62,0,2,Yes,Explorer,1,3.68,84000,6
240,Hardware,54,1,9,Yes,Diplomat,3,2.04,78200,9
241,Hardware,48,0,2,Yes,Explorer,3,2.56,77000,10
242,Hardware,56,0,1,Yes,Diplomat,4,3.06,105000,6
244,Hardware,58,1,4,Yes,Analyst,1,1.12,57400,4
246,Hardware,42,1,1,Yes,Explorer,3,1.4,75600,3
248,Hardware,62,0,6,Yes,Explorer,5,4,139000,9
249,Hardware,32,1,2,Yes,Diplomat,0,4,68600,5
252,Hardware,54,0,1,No,Diplomat,3,2.05,76000,5
253,Hardware,34,0,2,Yes,Diplomat,1,1.61,63000,5
256,Hardware,25,0,2,Yes,Explorer,6,4,91000,9
257,Hardware,32,0,1,No,Explorer,0,2.85,35000,3
258,Hardware,41,0,1,Yes,Diplomat,1,1.86,58000,5
259,Hardware,54,0,4,Yes,Explorer,1,3.79,109000,7
262,Hardware,45,0,7,Yes,Sentinel,3,1.43,53000,6
264,Hardware,36,1,2,Yes,Explorer,0,3.02,65800,3
268,Hardware,33,0,2,Yes,Explorer,4,2.83,97000,9
271,Hardware,43,1,2,Yes,Diplomat,3,3.4,82400,5
276,Hardware,25,0,2,Yes,Explorer,4,1.85,73000,9
279,Hardware,26,1,2,No,Sentinel,2,3.31,47800,5
282,Hardware,40,1,1,Yes,Sentinel,1,2.32,56000,3
284,Hardware,34,1,2,No,Sentinel,1,2.05,37200,2
286,Hardware,24,0,7,No,Explorer,3,1.82,54000,8
287,Hardware,58,0,3,No,Diplomat,1,4,76000,5
289,Hardware,33,0,1,Yes,Diplomat,3,3.16,72000,8
291,Hardware,36,0,1,Yes,Diplomat,3,2.11,101000,9
294,Hardware,56,1,7,No,Diplomat,1,4,59800,6
296,Hardware,52,1,4,Yes,Explorer,2,2.94,68600,5
298,Hardware,31,0,2,Yes,Explorer,6,2.43,79000,10
299,Hardware,30,0,2,Yes,Explorer,4,1.62,80000,6
300,Hardware,46,1,1,No,Explorer,3,1.96,56800,6
302,Hardware,52,0,1,Yes,Sentinel,2,1.67,65000,4
308,Hardware,54,1,3,Yes,Diplomat,0,3.66,60200,9
310,Hardware,25,0,2,No,Sentinel,3,3.73,59000,6
312,Hardware,50,1,5,No,Diplomat,0,3.9,67000,7
314,Hardware,59,0,1,Yes,Explorer,1,3.47,70000,7
315,Hardware,35,0,5,Yes,Explorer,1,1.25,53000,5
319,Hardware,53,0,2,Yes,Analyst,4,3.63,65000,3
320,Hardware,60,0,1,No,Analyst,3,2.12,65000,4
326,Hardware,49,1,3,Yes,Diplomat,1,2.76,56200,4
327,Hardware,44,0,7,No,Diplomat,4,3.67,107000,8
329,Hardware,53,0,1,Yes,Explorer,2,2.24,74000,4
330,Hardware,48,1,9,Yes,Sentinel,0,4,72400,3
331,Hardware,56,0,2,Yes,Explorer,2,3.88,101000,9
332,Hardware,47,0,2,No,Explorer,3,2.57,95000,8
333,Hardware,26,1,6,No,Sentinel,5,3.35,59800,7
334,Hardware,59,1,1,Yes,Diplomat,3,2.92,99200,9
335,Hardware,33,1,1,Yes,Explorer,1,2.44,62400,5
336,Hardware,50,1,2,Yes,Explorer,2,2.9,88000,9
338,Hardware,25,1,1,Yes,Analyst,2,2.6,49000,5
