Sales_Rep,Business,Age,Female,Years,College,Personality,Certficates,Feedback,Salary,NPS,Explorer,Diplomat,Analyst
1,Hardware,59,1,2,1,Diplomat,1,2.01,70200,5,0,1,0
2,Hardware,52,0,10,1,Diplomat,4,3.64,133000,10,0,1,0
4,Hardware,61,0,2,1,Diplomat,3,2.7,96000,6,0,1,0
6,Hardware,28,0,6,1,Explorer,1,2.43,60000,6,1,0,0
8,Hardware,51,1,10,0,Explorer,0,2.15,43800,5,1,0,0
9,Hardware,34,0,4,1,Diplomat,2,2.91,92000,7,0,1,0
10,Hardware,38,1,1,1,Explorer,5,1.23,73400,6,1,0,0
12,Hardware,41,1,1,1,Sentinel,1,2.26,51800,5,0,0,0
13,Hardware,40,0,1,0,Diplomat,4,3.6,116000,9,0,1,0
15,Hardware,46,1,2,1,Analyst,1,4,61800,5,0,0,1
16,Hardware,38,1,4,1,Diplomat,1,2.37,57400,4,0,1,0
18,Hardware,52,1,1,0,Sentinel,0,2.72,50600,4,0,0,0
20,Hardware,24,0,1,1,Analyst,1,2.66,39000,3,0,0,1
22,Hardware,37,1,1,1,Diplomat,2,3.71,96600,9,0,1,0
24,Hardware,33,0,2,1,Explorer,1,1.16,60000,4,1,0,0
27,Hardware,58,1,2,1,Explorer,4,3.54,73400,7,1,0,0
31,Hardware,62,0,7,1,Diplomat,5,2.6,80000,6,0,1,0
33,Hardware,42,1,2,1,Diplomat,5,2.15,78600,8,0,1,0
39,Hardware,40,0,2,1,Explorer,5,3.64,137000,9,1,0,0
41,Hardware,43,0,2,1,Diplomat,3,1.63,70000,7,0,1,0
44,Hardware,59,0,6,1,Explorer,1,4,97000,10,1,0,0
48,Hardware,38,0,3,0,Explorer,2,1.85,77000,3,1,0,0
49,Hardware,65,1,1,0,Diplomat,2,2.84,41000,3,0,1,0
52,Hardware,39,0,2,0,Diplomat,3,1.95,67000,5,0,1,0
54,Hardware,50,0,8,1,Explorer,1,3.13,81000,6,1,0,0
55,Hardware,39,0,2,1,Sentinel,4,4,78000,8,0,0,0
62,Hardware,34,1,1,1,Analyst,0,3.15,54200,6,0,0,1
64,Hardware,28,0,4,1,Diplomat,3,3.03,60000,4,0,1,0
68,Hardware,63,0,3,1,Explorer,5,2.14,76000,5,1,0,0
69,Hardware,54,1,1,1,Explorer,3,2.74,96200,7,1,0,0
72,Hardware,52,0,2,1,Analyst,4,1.21,84000,4,0,0,1
73,Hardware,36,1,3,1,Diplomat,1,2.35,55800,3,0,1,0
74,Hardware,28,0,1,1,Explorer,2,4,72000,8,1,0,0
75,Hardware,55,0,2,1,Explorer,6,1.31,93000,10,1,0,0
78,Hardware,56,0,1,0,Explorer,2,2.42,60000,5,1,0,0
80,Hardware,65,0,1,1,Sentinel,3,2.16,71000,5,0,0,0
83,Hardware,59,0,2,1,Explorer,6,2.22,81000,9,1,0,0
84,Hardware,25,0,2,1,Diplomat,0,3.77,70000,5,0,1,0
85,Hardware,46,0,2,1,Diplomat,2,1.41,63000,4,0,1,0
87,Hardware,36,1,1,1,Sentinel,3,3.82,58800,6,0,0,0
89,Hardware,60,0,7,1,Diplomat,1,1.94,70000,6,0,1,0
94,Hardware,65,1,2,1,Explorer,1,4,69000,6,1,0,0
95,Hardware,24,0,1,1,Explorer,3,2.15,65000,6,1,0,0
97,Hardware,28,0,2,1,Sentinel,3,2.7,55000,4,0,0,0
98,Hardware,46,1,1,1,Sentinel,6,3.34,86800,9,0,0,0
99,Hardware,40,0,1,0,Sentinel,5,1.95,49000,6,0,0,0
100,Hardware,56,1,5,1,Diplomat,4,3.43,71800,8,0,1,0
101,Hardware,63,0,2,1,Diplomat,1,2.92,71000,7,0,1,0
102,Hardware,37,0,1,1,Explorer,1,1.33,60000,3,1,0,0
104,Hardware,34,1,1,1,Diplomat,4,1.69,75200,7,0,1,0
105,Hardware,44,0,1,0,Explorer,4,1.48,85000,5,1,0,0
